Name,Exclusive secs,Inclusive secs,% Exclusive,% Inclusive,Module,Source File,Source Line
"[0000000000000005]",0,47.7544,0,12.0194,"","",0
"[000000000000000A]",0,0.272689,0,0.0686336,"","",0
"[0000000000000083]",0,47.7544,0,12.0194,"","",0
"[0000000000C886E9]",0,47.7544,0,12.0194,"","",0
"search_recursive_optimized.part.0",5.56177,5.56177,1.39985,1.39985,"5Words5Letters","[unknown]",0
"main",0.0029962,5.57383,0.000754118,1.40289,"5Words5Letters","[unknown]",0
"[0000000A0002B990]",0,47.4782,0,11.9499,"5Words5Letters","",0
"[0000000A0002BA90]",0,0.0035385,0,0.000890611,"5Words5Letters","",0
"memset",0.0060136,0.0060136,0.00151357,0.00151357,"cygwin1","[unknown]",0
"_assert",0,226.683,0,57.0541,"cygwin1","[unknown]",0
"_main",0,0.007738,0,0.00194759,"cygwin1","[unknown]",0
"cygwin_dll_init",0,5.58157,0,1.40483,"cygwin1","[unknown]",0
"dll_entry",0,0.0090016,0,0.00226563,"cygwin1","[unknown]",0
"dirname",0.0035408,0.0074943,0.000891189,0.00188625,"cygwin1","[unknown]",0
"_getreent",0.0101917,47.7682,0.00256516,12.0228,"cygwin1","[unknown]",0
"sigfillset",0,56.7555,0,14.2849,"cygwin1","[unknown]",0
"getppid",0,3.36005,0,0.845697,"cygwin1","[unknown]",0
"cuserid",0,60.1195,0,15.1316,"cygwin1","[unknown]",0
"timegm",0.0065651,51.1778,0.00165238,12.881,"cygwin1","[unknown]",0
"fscanf",0.0030358,0.0030358,0.000764085,0.000764085,"cygwin1","[unknown]",0
"div",0,0.007738,0,0.00194759,"cygwin1","[unknown]",0
"qsort",0.0030309,0.0030309,0.000762852,0.000762852,"cygwin1","[unknown]",0
"qsort_r",0.0348234,3.42061,0.00876476,0.860938,"cygwin1","[unknown]",0
"strlen",0.0030022,0.0030022,0.000755628,0.000755628,"cygwin1","[unknown]",0
"_locale_ctype_ptr",0.005985,0.005985,0.00150637,0.00150637,"cygwin1","[unknown]",0
"localeconv",0,3.36005,0,0.845697,"cygwin1","[unknown]",0
"abort",0,0.0037845,0,0.000952527,"cygwin1","[unknown]",0
"Tcpip4_WSHAddressToString",0,56.7594,0,14.2859,"mswsock","[unknown]",0
"ReadFile",56.7555,56.7555,14.2849,14.2849,"KERNELBASE","[unknown]",0
"WaitForSingleObject",0.0039888,0.0039888,0.00100395,0.00100395,"KERNELBASE","[unknown]",0
"WaitForSingleObjectEx",0.0080077,0.0080077,0.00201547,0.00201547,"KERNELBASE","[unknown]",0
"ReleaseMutex",0.0155082,0.0155082,0.00390328,0.00390328,"KERNELBASE","[unknown]",0
"WriteConsoleW",0.0037845,0.0037845,0.000952527,0.000952527,"KERNELBASE","[unknown]",0
"GetConsoleScreenBufferInfoEx",0,0,0,0,"KERNELBASE","[unknown]",0
"SleepEx",0.200181,0.200181,0.0503839,0.0503839,"KERNELBASE","[unknown]",0
"WaitForMultipleObjects",107.046,107.046,26.9425,26.9425,"KERNELBASE","[unknown]",0
"WaitForMultipleObjectsEx",0,0,0,0,"KERNELBASE","[unknown]",0
"SetEvent",0.0635067,0.0635067,0.0159841,0.0159841,"KERNELBASE","[unknown]",0
"GetConsoleTitleW",0,0,0,0,"KERNELBASE","[unknown]",0
"TerminateProcess",0.0039535,0.0039535,0.000995063,0.000995063,"KERNELBASE","[unknown]",0
"ReadConsoleInputW",0.130426,0.130426,0.0328271,0.0328271,"KERNELBASE","[unknown]",0
"PeekConsoleInputW",0.0510346,0.0510346,0.012845,0.012845,"KERNELBASE","[unknown]",0
"WriteConsoleInputA",0,0,0,0,"KERNELBASE","[unknown]",0
"WriteConsoleInputW",0.108715,0.108715,0.0273626,0.0273626,"KERNELBASE","[unknown]",0
"GetConsoleProcessList",0.0041779,0.0041779,0.00105154,0.00105154,"KERNELBASE","[unknown]",0
"GetNumberOfConsoleInputEvents",0.203498,0.203498,0.0512188,0.0512188,"KERNELBASE","[unknown]",0
"BaseThreadInitThunk",0,170.274,0,42.8566,"KERNEL32","[unknown]",0
"RtlClearThreadWorkOnBehalfTicket",0,0,0,0,"ntdll","[unknown]",0
"RtlDelayExecution",0,0,0,0,"ntdll","[unknown]",0
"RtlUserThreadStart",170.278,340.552,42.8575,85.7141,"ntdll","[unknown]",0
"NtWaitForSingleObject",0,0,0,0,"ntdll","[unknown]",0
"NtReadFile",0.0029794,0.0029794,0.00074989,0.00074989,"ntdll","[unknown]",0
"NtDeviceIoControlFile",0,0,0,0,"ntdll","[unknown]",0
"ZwRemoveIoCompletion",56.7594,56.7594,14.2859,14.2859,"ntdll","[unknown]",0
"ZwSetEvent",0,0,0,0,"ntdll","[unknown]",0
"NtReleaseMutant",0,0,0,0,"ntdll","[unknown]",0
"ZwTerminateProcess",0,0,0,0,"ntdll","[unknown]",0
"NtDelayExecution",0,0,0,0,"ntdll","[unknown]",0
"ZwQueryTimer",0.011054,0.011054,0.0027822,0.0027822,"ntdll","[unknown]",0
"ZwCreateEvent",0.0090016,0.0090016,0.00226563,0.00226563,"ntdll","[unknown]",0
"ZwWaitForMultipleObjects",0,0,0,0,"ntdll","[unknown]",0
"ZwSetTimer",0.0121756,0.0121756,0.0030645,0.0030645,"ntdll","[unknown]",0
"NtWaitForWorkViaWorkerFactory",0,0,0,0,"ntdll","[unknown]",0
